name,price
★ M9 Bayonet | Doppler Ruby (Factory New),868899
★ StatTrak™ Talon Knife | Doppler Sapphire (Factory New),626388
★ Bayonet | Doppler Sapphire (Factory New),587692
★ Bayonet | Doppler Sapphire (Factory New),587692
★ StatTrak™ Bayonet | Doppler Sapphire (Factory New),582211
AWP | Dragon Lore (Well-Worn),566354
★ Bayonet | Gamma Doppler Emerald (Factory New),532100
★ Talon Knife | Doppler Ruby (Factory New),463391
★ Butterfly Knife | Lore (Minimal Wear),456254
M4A4 | Howl (Field-Tested),411104
★ Stiletto Knife | Doppler Sapphire (Factory New),351138
★ Flip Knife | Doppler Sapphire (Factory New),349235
★ Butterfly Knife | Gamma Doppler Phase 4 (Factory New),295943
M4A1-S | Knight (Factory New),258818
★ Specialist Gloves | Tiger Strike (Minimal Wear),253454
★ Specialist Gloves | Tiger Strike (Minimal Wear),253454
★ Bayonet | Doppler Black Pearl (Factory New),244917
★ Ursus Knife | Doppler Ruby (Factory New),224348
★ Sport Gloves | Amphibious (Minimal Wear),212911
M4A1-S | Welcome to the Jungle (Minimal Wear),212470
★ Butterfly Knife | Gamma Doppler Phase 1 (Factory New),203796
AK-47 | Gold Arabesque (Minimal Wear),188866
AK-47 | Hydroponic (Factory New),187951
★ Specialist Gloves | Marble Fade (Minimal Wear),176885
★ Specialist Gloves | Marble Fade (Minimal Wear),176885
★ Butterfly Knife | Lore (Well-Worn),165817
★ Butterfly Knife | Doppler Phase 3 (Factory New),164805
★ Butterfly Knife | Autotronic (Field-Tested),158185
★ Skeleton Knife | Crimson Web (Minimal Wear),157389
★ Bowie Knife | Gamma Doppler Emerald (Factory New),157099
★ M9 Bayonet | Crimson Web (Minimal Wear),154025
AK-47 | Hydroponic (Minimal Wear),149189
★ Karambit | Marble Fade (Factory New),142369
★ Karambit | Marble Fade (Factory New),142369
★ Talon Knife | Fade (Factory New),140795
★ M9 Bayonet | Gamma Doppler Phase 4 (Factory New),140032
★ M9 Bayonet | Gamma Doppler Phase 4 (Factory New),140032
★ Butterfly Knife | Bright Water (Factory New),139467
★ Butterfly Knife | Bright Water (Factory New),139467
★ M9 Bayonet | Fade (Factory New),138156
★ Specialist Gloves | Field Agent (Minimal Wear),137918
★ Specialist Gloves | Field Agent (Minimal Wear),137918
Glock-18 | Fade (Factory New),135924
★ Falchion Knife | Gamma Doppler Emerald (Factory New),135611
★ M9 Bayonet | Marble Fade (Factory New),129787
★ Butterfly Knife | Autotronic (Battle-Scarred),120191
★ Karambit | Slaughter (Factory New),113485
★ M9 Bayonet | Lore (Field-Tested),109758
★ Karambit | Tiger Tooth (Factory New),108331
★ Karambit | Tiger Tooth (Factory New),108331
★ Karambit | Tiger Tooth (Factory New),108331
★ Butterfly Knife | Crimson Web (Field-Tested),106179
★ Butterfly Knife | Crimson Web (Field-Tested),106179
★ Sport Gloves | Nocts (Minimal Wear),105318
★ Karambit | Autotronic (Field-Tested),103981
★ Falchion Knife | Doppler Sapphire (Factory New),102933
★ Bayonet | Gamma Doppler Phase 2 (Factory New),101833
★ Driver Gloves | Snow Leopard (Field-Tested),100137
★ Driver Gloves | Snow Leopard (Field-Tested),100137
★ Talon Knife | Marble Fade (Factory New),98317
★ Shadow Daggers | Night (Field-Tested),8662
★ Gut Knife | Safari Mesh (Field-Tested),8655
★ Gut Knife | Safari Mesh (Field-Tested),8655
★ Gut Knife | Safari Mesh (Field-Tested),8655
★ Gut Knife | Safari Mesh (Field-Tested),8655
★ Driver Gloves | Convoy (Well-Worn),8617
AK-47 | Nightwish (Minimal Wear),8607
AK-47 | Nightwish (Minimal Wear),8607
AK-47 | Nightwish (Minimal Wear),8607
★ Moto Gloves | Transport (Battle-Scarred),8607
★ Gut Knife | Boreal Forest (Battle-Scarred),8602
★ Gut Knife | Boreal Forest (Battle-Scarred),8602
★ Gut Knife | Boreal Forest (Battle-Scarred),8602
★ Gut Knife | Boreal Forest (Well-Worn),8602
★ Gut Knife | Urban Masked (Battle-Scarred),8602
★ Gut Knife | Urban Masked (Battle-Scarred),8602
StatTrak™ AWP | Neo-Noir (Minimal Wear),8585
★ Bloodhound Gloves | Snakebite (Battle-Scarred),8574
★ Bloodhound Gloves | Snakebite (Battle-Scarred),8574
★ Navaja Knife | Damascus Steel (Battle-Scarred),8570
StatTrak™ AK-47 | Jaguar (Field-Tested),8563
StatTrak™ AK-47 | Jaguar (Field-Tested),8563
StatTrak™ AK-47 | Jaguar (Field-Tested),8563
★ Hand Wraps | Constrictor (Battle-Scarred),8562
★ Shadow Daggers | Urban Masked (Field-Tested),8562
★ StatTrak™ Navaja Knife | Rust Coat (Battle-Scarred),8551
★ StatTrak™ Navaja Knife | Rust Coat (Battle-Scarred),8551
★ StatTrak™ Navaja Knife | Rust Coat (Battle-Scarred),8551
★ Shadow Daggers | Stained (Battle-Scarred),8548
★ Shadow Daggers | Stained (Battle-Scarred),8548
★ Gut Knife | Forest DDPAT (Battle-Scarred),8547
★ Gut Knife | Forest DDPAT (Battle-Scarred),8547
★ Gut Knife | Forest DDPAT (Well-Worn),8547
★ Gut Knife | Night (Well-Worn),8544
M4A1-S | Golden Coil (Minimal Wear),8537
M4A1-S | Golden Coil (Minimal Wear),8537
★ Hand Wraps | Duct Tape (Well-Worn),8532
★ Hand Wraps | Duct Tape (Well-Worn),8532
★ Hand Wraps | Duct Tape (Well-Worn),8532
★ Specialist Gloves | Buckshot (Battle-Scarred),8529
StatTrak™ P250 | Splash (Factory New),8503
Desert Eagle | Printstream (Minimal Wear),8497
Desert Eagle | Printstream (Minimal Wear),8497
Desert Eagle | Printstream (Minimal Wear),8497
★ Navaja Knife | Rust Coat (Well-Worn),8491
★ Shadow Daggers | Night (Battle-Scarred),8489
★ Shadow Daggers | Night (Battle-Scarred),8489
★ Shadow Daggers | Night (Battle-Scarred),8489
★ Shadow Daggers | Night (Battle-Scarred),8489
★ Shadow Daggers | Night (Battle-Scarred),8489
★ Navaja Knife | Scorched (Minimal Wear),8469
★ Navaja Knife | Scorched (Minimal Wear),8469
★ Navaja Knife | Scorched (Minimal Wear),8469
★ Navaja Knife | Scorched (Minimal Wear),8469
★ Hand Wraps | Duct Tape (Battle-Scarred),8464
Glock-18 | Twilight Galaxy (Factory New),8408
M4A4 | Asiimov (Well-Worn),8390
M4A4 | Asiimov (Well-Worn),8390
★ Shadow Daggers | Safari Mesh (Field-Tested),8364
★ Shadow Daggers | Safari Mesh (Field-Tested),8364
★ Gut Knife | Rust Coat (Battle-Scarred),8879
★ Specialist Gloves | Buckshot (Well-Worn),8860
★ Hand Wraps | Desert Shamagh (Battle-Scarred),8853
★ Shadow Daggers | Boreal Forest (Minimal Wear),8842
★ Shadow Daggers | Boreal Forest (Minimal Wear),8842
★ Gut Knife | Urban Masked (Well-Worn),8835
★ Gut Knife | Urban Masked (Well-Worn),8835
★ Bloodhound Gloves | Bronzed (Battle-Scarred),8815
AK-47 | Aquamarine Revenge (Factory New),8799
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Gut Knife | Boreal Forest (Field-Tested),8779
★ Navaja Knife | Damascus Steel (Minimal Wear),8779
★ Navaja Knife | Damascus Steel (Minimal Wear),8779
★ Navaja Knife | Damascus Steel (Minimal Wear),8779
★ Navaja Knife | Damascus Steel (Minimal Wear),8779
★ Gut Knife | Scorched (Field-Tested),8767
★ Gut Knife | Scorched (Field-Tested),8767
★ Gut Knife | Scorched (Field-Tested),8767
★ Gut Knife | Scorched (Field-Tested),8767
★ Gut Knife | Scorched (Field-Tested),8767
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Navaja Knife | Stained (Minimal Wear),8758
★ Shadow Daggers | Black Laminate (Well-Worn),8750
★ Shadow Daggers | Black Laminate (Well-Worn),8750
★ Navaja Knife | Damascus Steel (Field-Tested),8745
★ Navaja Knife | Damascus Steel (Field-Tested),8745
★ Navaja Knife | Damascus Steel (Field-Tested),8745
★ Navaja Knife | Damascus Steel (Field-Tested),8745
★ Gut Knife | Forest DDPAT (Field-Tested),8721
★ Gut Knife | Forest DDPAT (Field-Tested),8721
★ Gut Knife | Forest DDPAT (Field-Tested),8721
★ Gut Knife | Forest DDPAT (Field-Tested),8721
★ Gut Knife | Forest DDPAT (Field-Tested),8721
★ Shadow Daggers | Stained (Field-Tested),8721
★ Shadow Daggers | Stained (Field-Tested),8721
★ Gut Knife | Night (Field-Tested),8720
P2000 | Chainmail (Factory New),8720
P2000 | Chainmail (Factory New),8720
StatTrak™ USP-S | Neo-Noir (Minimal Wear),8702
StatTrak™ USP-S | Neo-Noir (Minimal Wear),8702
StatTrak™ AWP | Chromatic Aberration (Field-Tested),8699
★ StatTrak™ Shadow Daggers | Boreal Forest (Field-Tested),8686
★ StatTrak™ Shadow Daggers | Boreal Forest (Field-Tested),8686
MP9 | Dark Age (Minimal Wear),8679
★ Shadow Daggers | Night (Field-Tested),8662
★ Shadow Daggers | Night (Field-Tested),8662
★ Shadow Daggers | Night (Field-Tested),8662
★ Hand Wraps | Constrictor (Well-Worn),9179
★ Hand Wraps | Constrictor (Well-Worn),9179
★ Hand Wraps | Constrictor (Well-Worn),9179
★ Gut Knife | Rust Coat (Well-Worn),9173
